x,y,file
-1633,-781,data/entities/items/kantele.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1126,-1015,data/entities/items/pickup/egg_worm.xml
-1135,-1013,data/entities/items/pickup/egg_worm.xml
798,-1085,data/entities/items/books/book_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
780,-1071,data/entities/items/orbs/orb_00.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-1046,-476,data/entities/items/pickup/egg_worm.xml
-1328,-209,data/entities/items/books/book_tree.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
220,565,data/entities/items/wands/level_01/wand_013.xml
580,165,data/entities/items/wands/level_01/wand_012.xml
400,371,data/entities/items/pickup/potion.xml
-2455,1082,data/entities/items/pickup/chest_random.xml
-1906,915,data/entities/items/pickup/heart_fullhp.xml
-1864,624,data/entities/items/pickup/heart.xml
-1265,916,data/entities/items/wands/level_01/wand_006.xml
-470,881,data/entities/items/pickup/potion.xml
-760,641,data/entities/items/pickup/potion.xml
190,762,data/entities/items/wand_level_01.xml
220,562,data/entities/items/wands/level_01/wand_013.xml
920,891,data/entities/items/pickup/potion.xml
1180,631,data/entities/items/pickup/potion.xml
1635,637,data/entities/items/pickup/chest_random.xml
2339,840,data/entities/items/books/book_corpse.xml
4351,899,data/entities/items/orbs/orb_07.xml
4351,888,data/entities/items/orbs/orb_07.xml
4321,888,data/entities/items/books/book_07.xml
-2525,1549,data/entities/items/pickup/potion.xml
-2385,1579,data/entities/items/pickup/thunderstone.xml
-2455,1027,data/entities/items/pickup/chest_random.xml
-497,1374,data/entities/items/pickup/heart_fullhp_temple.xml
-465,1374,data/entities/items/pickup/spell_refresh.xml
-2,1410,data/entities/items/pickup/perk.xml
-22,1410,data/entities/items/pickup/perk.xml
73,1383,data/entities/items/pickup/perk_reroll.xml
18,1410,data/entities/items/pickup/perk.xml
-2385,1579,data/entities/items/pickup/thunderstone.xml
-2615,1717,data/entities/items/wand_unshuffle_02.xml
-2185,1847,data/entities/items/wand_unshuffle_01.xml
-2495,1752,data/entities/items/pickup/potion.xml
-2475,1760,data/entities/items/pickup/potion.xml
-2515,1769,data/entities/items/pickup/potion.xml
-2525,1549,data/entities/items/pickup/potion.xml
-2145,2077,data/entities/items/wand_unshuffle_01.xml
-2475,2099,data/entities/items/pickup/potion.xml
-1755,2097,data/entities/items/pickup/heart.xml
-85,1738,data/entities/items/wand_unshuffle_01.xml
1755,1917,data/entities/items/pickup/chest_random.xml
1736,2071,data/entities/items/pickup/potion.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3473,1911,data/entities/items/orbs/orb_03.xml
