x,y,file
-1633,-781,data/entities/items/kantele.xml
-1127,-1016,data/entities/items/pickup/egg_worm.xml
-1138,-1016,data/entities/items/pickup/egg_worm.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
780,-1071,data/entities/items/orbs/orb_00.xml
798,-1085,data/entities/items/books/book_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-2434,-207,data/entities/items/pickup/evil_eye.xml
-1042,-472,data/entities/items/pickup/egg_worm.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1328,-209,data/entities/items/books/book_tree.xml
1010,381,data/entities/items/pickup/thunderstone.xml
1110,511,data/entities/items/pickup/brimstone.xml
-1866,624,data/entities/items/pickup/heart_fullhp.xml
-1878,917,data/entities/items/pickup/heart.xml
-1065,654,data/entities/items/pickup/heart.xml
1110,511,data/entities/items/pickup/brimstone.xml
1610,641,data/entities/items/pickup/potion.xml
1790,641,data/entities/items/pickup/broken_wand.xml
2339,840,data/entities/items/books/book_corpse.xml
4351,888,data/entities/items/orbs/orb_07.xml
4321,888,data/entities/items/books/book_07.xml
4351,899,data/entities/items/orbs/orb_07.xml
-2365,1585,data/entities/items/pickup/heart.xml
-2415,1586,data/entities/items/wand_unshuffle_02.xml
-465,1374,data/entities/items/pickup/spell_refresh.xml
-497,1374,data/entities/items/pickup/heart_fullhp_temple.xml
73,1383,data/entities/items/pickup/perk_reroll.xml
18,1410,data/entities/items/pickup/perk.xml
-2,1410,data/entities/items/pickup/perk.xml
-22,1410,data/entities/items/pickup/perk.xml
-2265,1809,data/entities/items/pickup/egg_slime.xml
-2135,1769,data/entities/items/pickup/potion.xml
-2335,1687,data/entities/items/wand_unshuffle_02.xml
-2545,1939,data/entities/items/pickup/potion.xml
-2195,1797,data/entities/items/pickup/heart.xml
-2375,2099,data/entities/items/pickup/potion.xml
-2365,1585,data/entities/items/pickup/heart.xml
-2125,1839,data/entities/items/pickup/broken_wand.xml
-2415,1587,data/entities/items/wand_unshuffle_02.xml
-1565,1657,data/entities/items/pickup/chest_random.xml
-1065,1647,data/entities/items/pickup/chest_random.xml
-955,2095,data/entities/items/pickup/heart.xml
585,2056,data/entities/items/wand_level_02.xml
1555,1717,data/entities/items/pickup/chest_random.xml
1335,2005,data/entities/items/pickup/heart.xml
3503,1891,data/entities/items/books/book_03.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3473,1911,data/entities/items/orbs/orb_03.xml
