x,y,file
-1633,-781,data/entities/items/kantele.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1121,-976,data/entities/items/pickup/egg_worm.xml
-1150,-1014,data/entities/items/pickup/egg_worm.xml
780,-1094,data/entities/items/orbs/orb_00.xml
798,-1084,data/entities/items/books/book_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-1327,-168,data/entities/items/books/book_tree.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1046,-477,data/entities/items/pickup/egg_worm.xml
580,165,data/entities/items/wands/level_01/wand_012.xml
400,373,data/entities/items/pickup/potion.xml
1194,113,data/entities/items/pickup/goldnugget_10.xml
1226,195,data/entities/items/pickup/goldnugget_10.xml
-1864,624,data/entities/items/pickup/heart.xml
-1906,915,data/entities/items/pickup/heart_fullhp.xml
-1265,916,data/entities/items/wands/level_01/wand_006.xml
-470,883,data/entities/items/pickup/potion.xml
-758,643,data/entities/items/pickup/potion.xml
-702,955,data/entities/items/pickup/goldnugget_10.xml
-698,949,data/entities/items/pickup/goldnugget_10.xml
190,762,data/entities/items/wand_level_01.xml
220,562,data/entities/items/wands/level_01/wand_013.xml
547,805,data/entities/items/pickup/goldnugget_10.xml
918,893,data/entities/items/pickup/potion.xml
1180,633,data/entities/items/pickup/potion.xml
1631,641,data/entities/items/pickup/chest_random.xml
1486,812,data/entities/items/pickup/goldnugget_10.xml
2339,846,data/entities/items/books/book_corpse.xml
4323,894,data/entities/items/books/book_07.xml
4351,899,data/entities/items/orbs/orb_07.xml
4351,888,data/entities/items/orbs/orb_07.xml
-2455,1428,data/entities/items/pickup/chest_random.xml
-2524,1550,data/entities/items/pickup/potion.xml
-2385,1580,data/entities/items/pickup/thunderstone.xml
-465,1362,data/entities/items/pickup/spell_refresh.xml
-497,1362,data/entities/items/pickup/heart_fullhp_temple.xml
-2,1410,data/entities/items/pickup/perk.xml
-22,1410,data/entities/items/pickup/perk.xml
18,1410,data/entities/items/pickup/perk.xml
73,1384,data/entities/items/pickup/perk_reroll.xml
-2163,1825,data/entities/items/pickup/goldnugget_10.xml
-2149,1634,data/entities/items/pickup/goldnugget_10.xml
-2506,1754,data/entities/items/pickup/potion.xml
-2185,1847,data/entities/items/wand_unshuffle_01.xml
-2146,1654,data/entities/items/pickup/goldnugget_50.xml
-2524,1551,data/entities/items/pickup/potion.xml
-2138,1641,data/entities/items/pickup/goldnugget_10.xml
-2386,1583,data/entities/items/pickup/thunderstone.xml
-2521,1954,data/entities/items/pickup/goldnugget_10.xml
-2535,1955,data/entities/items/pickup/goldnugget_10.xml
-2146,1624,data/entities/items/pickup/goldnugget_10.xml
-2480,1744,data/entities/items/pickup/potion.xml
-2520,1683,data/entities/items/pickup/potion.xml
-2146,1610,data/entities/items/pickup/goldnugget_10.xml
-2148,1629,data/entities/items/pickup/goldnugget_10.xml
-2168,1825,data/entities/items/pickup/goldnugget_10.xml
-2475,2099,data/entities/items/pickup/potion.xml
-2145,2076,data/entities/items/wand_unshuffle_01.xml
-1755,2092,data/entities/items/pickup/heart.xml
-85,1738,data/entities/items/wand_unshuffle_01.xml
-428,2026,data/entities/items/pickup/goldnugget_10.xml
-473,2010,data/entities/items/pickup/goldnugget_10.xml
866,2038,data/entities/items/pickup/goldnugget_10.xml
895,2042,data/entities/items/pickup/goldnugget_10.xml
871,2037,data/entities/items/pickup/goldnugget_10.xml
1470,1718,data/entities/items/pickup/goldnugget_10.xml
1468,1721,data/entities/items/pickup/goldnugget_10.xml
1752,1931,data/entities/items/pickup/chest_random.xml
3473,1911,data/entities/items/orbs/orb_03.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3500,1900,data/entities/items/books/book_03.xml
