x,y,file
-1633,-781,data/entities/items/kantele.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1130,-1019,data/entities/items/pickup/egg_worm.xml
-1139,-1016,data/entities/items/pickup/egg_worm.xml
798,-1084,data/entities/items/books/book_00.xml
780,-1094,data/entities/items/orbs/orb_00.xml
780,-1082,data/entities/items/orbs/orb_00.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-2434,-203,data/entities/items/pickup/evil_eye.xml
-1328,-168,data/entities/items/books/book_tree.xml
-1376,-427,data/entities/items/pickup/greed_curse.xml
-1054,-485,data/entities/items/pickup/egg_worm.xml
-1249,572,data/entities/items/pickup/potion.xml
100,175,data/entities/items/wands/level_01/wand_011.xml
540,437,data/entities/items/pickup/goldnugget_10.xml
-1864,624,data/entities/items/pickup/heart.xml
-1906,915,data/entities/items/pickup/heart_fullhp.xml
-1249,573,data/entities/items/pickup/potion.xml
-845,871,data/entities/items/pickup/heart.xml
-215,536,data/entities/items/pickup/heart.xml
220,692,data/entities/items/wand_level_01.xml
355,718,data/entities/items/pickup/heart.xml
369,953,data/entities/items/pickup/potion.xml
1267,647,data/entities/items/pickup/chest_random.xml
1827,709,data/entities/items/pickup/chest_random.xml
2337,846,data/entities/items/books/book_corpse.xml
4351,899,data/entities/items/orbs/orb_07.xml
4320,894,data/entities/items/books/book_07.xml
4351,888,data/entities/items/orbs/orb_07.xml
-22,1410,data/entities/items/pickup/perk.xml
-2,1410,data/entities/items/pickup/perk.xml
18,1410,data/entities/items/pickup/perk.xml
73,1384,data/entities/items/pickup/perk_reroll.xml
-497,1362,data/entities/items/pickup/heart_fullhp_temple.xml
-465,1362,data/entities/items/pickup/spell_refresh.xml
222,961,data/entities/items/pickup/goldnugget_10.xml
368,953,data/entities/items/pickup/potion.xml
-2525,2071,data/entities/items/pickup/brimstone.xml
-2363,1811,data/entities/items/pickup/potion.xml
-2384,2101,data/entities/items/pickup/potion.xml
-2455,2060,data/entities/items/pickup/heart.xml
-2394,2031,data/entities/items/pickup/potion.xml
-572,1906,data/entities/items/pickup/goldnugget_10.xml
-562,1913,data/entities/items/pickup/goldnugget_10.xml
-685,1936,data/entities/items/wand_unshuffle_01.xml
-197,1999,data/entities/items/pickup/chest_random.xml
955,1939,data/entities/items/pickup/heart.xml
1045,1688,data/entities/items/pickup/chest_random.xml
995,1596,data/entities/items/wand_level_02_better.xml
982,1851,data/entities/items/pickup/goldnugget_10.xml
1635,1665,data/entities/items/pickup/heart.xml
3473,1900,data/entities/items/orbs/orb_03.xml
3501,1902,data/entities/items/books/book_03.xml
3473,1911,data/entities/items/orbs/orb_03.xml
